threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_fraud_count,false_positive_cost,false_negative_cost,business_cost
0.6,0.09329140461215933,0.9081632653061225,0.16920152091254753,55999,865,9,89,954,1.0,20.0,1045.0
0.61,0.09498399146211313,0.9081632653061225,0.17198067632850242,56016,848,9,89,937,1.0,20.0,1028.0
0.62,0.09652928416485901,0.9081632653061225,0.17450980392156865,56031,833,9,89,922,1.0,20.0,1013.0
0.63,0.09910913140311804,0.9081632653061225,0.178714859437751,56055,809,9,89,898,1.0,20.0,989.0
0.64,0.1012514220705347,0.9081632653061225,0.18219037871033777,56074,790,9,89,879,1.0,20.0,970.0
0.65,0.10324825986078887,0.9081632653061225,0.18541666666666667,56091,773,9,89,862,1.0,20.0,953.0
0.66,0.10570071258907364,0.9081632653061225,0.18936170212765957,56111,753,9,89,842,1.0,20.0,933.0
0.67,0.1090686274509804,0.9081632653061225,0.19474835886214442,56137,727,9,89,816,1.0,20.0,907.0
0.68,0.11152882205513784,0.9081632653061225,0.19866071428571427,56155,709,9,89,798,1.0,20.0,889.0
0.6900000000000001,0.11381074168797954,0.9081632653061225,0.2022727272727273,56171,693,9,89,782,1.0,20.0,873.0
0.7000000000000001,0.11649214659685864,0.9081632653061225,0.20649651972157773,56189,675,9,89,764,1.0,20.0,855.0
0.7100000000000001,0.11946308724832215,0.9081632653061225,0.2111506524317912,56208,656,9,89,745,1.0,20.0,836.0
0.72,0.12343966712898752,0.9081632653061225,0.21733821733821734,56232,632,9,89,721,1.0,20.0,812.0
0.73,0.12624113475177304,0.9081632653061225,0.22166874221668736,56248,616,9,89,705,1.0,20.0,796.0
0.74,0.12917271407837447,0.9081632653061225,0.2261753494282084,56264,600,9,89,689,1.0,20.0,780.0
0.75,0.13185185185185186,0.9081632653061225,0.23027166882276842,56278,586,9,89,675,1.0,20.0,766.0
0.76,0.13484848484848486,0.9081632653061225,0.2348284960422164,56293,571,9,89,660,1.0,20.0,751.0
0.77,0.13734567901234568,0.9081632653061225,0.23860589812332436,56305,559,9,89,648,1.0,20.0,739.0
0.78,0.14171974522292993,0.9081632653061225,0.24517906336088152,56325,539,9,89,628,1.0,20.0,719.0
0.79,0.14590163934426228,0.9081632653061225,0.2514124293785311,56343,521,9,89,610,1.0,20.0,701.0
0.8,0.1495798319327731,0.9081632653061225,0.2568542568542569,56358,506,9,89,595,1.0,20.0,686.0
0.81,0.1523972602739726,0.9081632653061225,0.26099706744868034,56369,495,9,89,584,1.0,20.0,675.0
0.8200000000000001,0.15780141843971632,0.9081632653061225,0.2688821752265861,56389,475,9,89,564,1.0,20.0,655.0
0.8300000000000001,0.1636029411764706,0.9081632653061225,0.2772585669781932,56409,455,9,89,544,1.0,20.0,635.0
